Comment,Designator,Footprint,LCSC
Passive Buzzer 12085 (12x8.5mm) 16 Ohm,BZ1,Passive Buzzer 12085 (12x8.5mm) 16 Ohm,
10 uF,"C11,C12",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
4.7 uF,"C2,C3",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
100 nF,"C1,C4,C5,C6,C7,C9,C10",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
MCP1700-3302E,D1,Package_TO_SOT_SMD:SOT-23_Handsoldering,
ATmega328P-AU,D2,Package_QFP:TQFP-32_7x7mm_P0.8mm,
DS3231SN,D3,SOIC-16W_7.5x10.3mm_P1.27mm,
24LC256T-I/SN,D4,SOIC-8_3.9x4.9mm_P1.27mm,
TP4056,D5,SOP-8-PP,
10K,"R1,R3",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
68K,R10,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
1K,"R12,R13",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
3K,R14,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100,R2,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
3K3,"R4,R8,R11",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
33K,"R5,R6",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
270K,R9,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
Reed Switch Normally Open 2x14mm,SW1,Reed Switch Normally Open 2x14mm,
EMPTY,"TP1,TP2,TP4,TP5",,
1210 3528 BLUE 3.5*2.8*1.9mm,VD1,LED_SMD:LED_1210_3528Metric,
0805 GREEN,VD2,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
0805 RED,VD3,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
BSS138,VT1,SOT-23_Handsoldering,
Battery,X1,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
Prog,X2,Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical,
EMPTY,X3,,
MINI RC522,X4,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,
EMPTY,X5,,
