Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100 nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,22.509164,-19.187151,90.000000,top
C1,100 nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,22.509164,29.812849,90.000000,top
C2,4.7 uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,43.009000,-2.630000,90.000000,top
C2,4.7 uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,43.009000,-51.630000,90.000000,top
C3,4.7 uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.009000,-2.630000,270.000000,top
C3,4.7 uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.009000,-51.630000,270.000000,top
C4,100 nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,23.784000,-28.355000,0.000000,top
C4,100 nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,23.784000,20.645000,0.000000,top
C5,100 nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,10.734000,12.395000,180.000000,top
C5,100 nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,10.734000,-36.605000,180.000000,top
C6,100 nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,10.734000,-38.855000,180.000000,top
C6,100 nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,10.734000,10.145000,180.000000,top
C7,100 nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,15.784000,-41.355000,0.000000,top
C7,100 nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,15.784000,7.645000,0.000000,top
C9,100 nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,23.509000,-51.080000,270.000000,top
C9,100 nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,23.509000,-2.080000,270.000000,top
C10,100 nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,26.009000,-52.380000,90.000000,top
C10,100 nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,26.009000,-3.380000,90.000000,top
C11,10 uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,59.259000,-51.817500,270.000000,top
C11,10 uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,59.259000,-2.817500,270.000000,top
C12,10 uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,48.009000,-51.642500,270.000000,top
C12,10 uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,48.009000,-2.642500,270.000000,top
D1,MCP1700-3302E,SOT-23_Handsoldering,40.009000,-2.355000,270.000000,top
D1,MCP1700-3302E,SOT-23_Handsoldering,40.009000,-51.355000,270.000000,top
D2,ATmega328P-AU,TQFP-32_7x7mm_P0.8mm,17.929164,-33.024417,225.000000,top
D2,ATmega328P-AU,TQFP-32_7x7mm_P0.8mm,17.929164,15.975583,225.000000,top
D3,DS3231SN,SOIC-16W_7.5x10.3mm_P1.27mm,16.009000,-51.182151,0.000000,top
D3,DS3231SN,SOIC-16W_7.5x10.3mm_P1.27mm,16.009000,-2.182151,0.000000,top
D4,24LC256T-I/SN,SOIC-8_3.9x4.9mm_P1.27mm,31.259000,-51.855000,180.000000,top
D4,24LC256T-I/SN,SOIC-8_3.9x4.9mm_P1.27mm,31.259000,-2.855000,180.000000,top
D5,TP4056,TP4056_SOP-8-PP,54.009000,-52.355000,90,top
D5,TP4056,TP4056_SOP-8-PP,54.009000,-3.355000,90,top
R1,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,28.784000,-45.688151,180.000000,top
R1,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,28.784000,3.311849,180.000000,top
R2,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3.734000,-46.605000,0.000000,top
R2,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3.734000,2.395000,0.000000,top
R3,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,28.784000,1.279849,180.000000,top
R3,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,28.784000,-47.720151,180.000000,top
R4,3K3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,51.009000,-16.132000,270.000000,top
R4,3K3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,51.009000,32.868000,270.000000,top
R5,33K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,53.324000,32.868000,90.000000,top
R5,33K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,53.324000,-16.132000,90.000000,top
R6,33K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,25.509000,-24.855000,90.000000,top
R6,33K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,25.509000,24.145000,90.000000,top
R8,3K3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,7.509000,1.895000,0.000000,top
R8,3K3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,7.509000,-47.105000,0.000000,top
R9,270K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6.972000,-55.605000,0.000000,top
R9,270K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6.972000,-6.605000,0.000000,top
R10,68K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,7.003164,-53.432151,180.000000,top
R10,68K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,7.003164,-4.432151,180.000000,top
R11,3K3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,7.484000,-49.105000,0.000000,top
R11,3K3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,7.484000,-0.105000,0.000000,top
R14,3K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,59.259000,-6.855000,90.000000,top
R14,3K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,59.259000,-55.855000,90.000000,top
VT1,BSS138,SOT-23_Handsoldering,57.912000,-16.123000,180,top
VT1,BSS138,SOT-23_Handsoldering,57.912000,32.877000,180,top
